item_id,item_name,price,amount,url
267702,Pistachios,$19.49,24oz,https://www.bjs.com/product/wellsley-farms-roasted-and-salted-pistachio-kernels-24-oz/3000000000003054771
26061,Sunflower Seeds,$3.99,18oz,https://www.bjs.com/product/wellsley-farms-sunflower-seeds-18-oz/3000000000000164473
38320,Chia Seeds,$8.29,2lbs,https://www.bjs.com/product/wellsley-farms-organic-chia-seeds-2-lbs/3000000000000325259
906,Whole milk,$2.97,1 gal,https://www.bjs.com/product/wellsley-farms-whole-milk-1-gal/3000000000000139571
18900,Skim Milk,$2.69,1 gal,https://www.bjs.com/product/wellsley-farms-skim-milk-1-gal/3000000000000152561
31237,Almond Milk,$4.79,96oz,https://www.bjs.com/product/blue-diamond-almond-breeze-original-almond-milk-96-oz/3000000000000194171
32794,Soy Milk,$6.99,64 oz,https://www.bjs.com/product/silk-original-soy-milk-2-pk64-fl-oz/3000000000000200121
287086,Oat Milk,$4.99,86oz,https://www.bjs.com/product/planet-oat-original-oatmilk-86-oz/3000000000003719763
253550,Heavy Whipping Cream,$4.99,32oz,https://www.bjs.com/product/wellsley-farms-heavy-whipping-cream-32-oz/3000000000002440779
18498,Parmesan Cheese,$8.39,24oz,https://www.bjs.com/product/kraft-grated-parmesan-cheese-24-oz/3000000000000151463
77758,Plain Greek Yogurt,$6.29,40oz,https://www.bjs.com/product/chobani-non-fat-plain-greek-yogurt-40-oz/3000000000000610116
253555,Sour Cream,$3.49,32oz,https://www.bjs.com/product/wellsley-farms-all-natural-sour-cream-32-oz/3000000000002440789
100383,Gala Apple,$5.99,5lbs,https://www.bjs.com/product/wellsley-farms-gala-apples-5-lbs/3000000000000900174
16162,Granny Smith Apple,$7.99,5lbs,https://www.bjs.com/product/wellsley-farms-organic-granny-smith-apples-5-lbs/3000000000000145103
29678,McIntosh Apples,$5.49,5lbs,https://www.bjs.com/product/wellsley-farms-mcintosh-apples-5-lbs/3000000000000186997
100189,Red Delicious Apples,$6.99,5lbs,https://www.bjs.com/product/wellsley-farms-red-delicious-apples-5-lbs/3000000000000900170
16169,Fuji Apples,$8.99,5lbs,https://www.bjs.com/product/wellsley-farms-organic-fuji-apples-5-lbs/3000000000000145381
14526,Banana,$1.49,3lbs,https://www.bjs.com/product/bananas-3-lbs/3000000000000142817
335401,Strawberries,$5.99,2lbs,https://www.bjs.com/product/strawberries-2-lbs/3000000000000222059
14153,Blueberries,$8.49,18oz,https://www.bjs.com/product/blueberries-18-oz/3000000000000142203
13620,Red Grapes,$7.99,3lbs,https://www.bjs.com/product/seedless-red-grapes-3-lbs/3000000000000141801
6555,Green Grapes,$7.99,3lbs,https://www.bjs.com/product/seedless-green-grapes-3-lbs/3000000000000139997
280208,Mango Chunks,$10.99,4lbs,https://www.bjs.com/product/wellsley-farms-frozen-mango-chunks-4-lbs/3000000000003362265
254231,Pineapples,$2.69,1 ct,https://www.bjs.com/product/pineapple-1-ct/3000000000000218351
367702,Peaches,$6.99,4lbs,https://www.bjs.com/product/peaches-4-lbs/3000000000000222437
368610,Plums,$6.99,4lbs,https://www.bjs.com/product/plums-4-lbs/3000000000000222473
243925,Cherries,$14.99,3lbs,https://www.bjs.com/product/wellsley-farms-organic-dark-sweet-cherries-3-lbs/3000000000002132753
28947,Watermelon Chunks,$5.49,24oz,https://www.bjs.com/product/fresh-cut-watermelon-chunks-24-oz/3000000000000182521
240850,Kiwi,$7.99,3lbs,https://www.bjs.com/product/kiwi-fruit-3-lbs/3000000000000217383
11235,Pears,$7.99,5lbs,https://www.bjs.com/product/motts-anjou-pears-5-lbs/3000000000000140509
86823,Lemons,$2.99,2lbs,https://www.bjs.com/product/wellsley-farms-lemons-2-lbs/3000000000000714594
86789,Limes,$4.49,2lbs,https://www.bjs.com/product/wellsley-farms-limes-2-lbs/3000000000000714586
266527,Avocado,$4.99,5ct,https://www.bjs.com/product/wellsley-farms-hass-avocados-5-ct/3000000000003028247
295859,Basil leaves,$3.99,4.5oz,https://www.bjs.com/product/wellsley-farms-basil-leaves-45-oz/3000000000004062259
296115,Parsley flakes,$5.49,2.7oz,https://www.bjs.com/product/wellsley-farms-parsley-flakes-27-oz/3000000000004062271
261282,Cilantro,$2.99,2.5oz,https://www.bjs.com/product/infinite-herbs-and-specialties-fresh-cilantro-25-oz/3000000000002684285
296122,Thyme,$5.49,6.4oz,https://www.bjs.com/product/wellsley-farms-thyme-leaves-64-oz/3000000000004062285
296117,Oregano,$6.99,5.9oz,https://www.bjs.com/product/wellsley-farms-oregano-59-oz/3000000000004062275
247514,Salt,$5.49,45oz,https://www.bjs.com/product/wellsley-farms-fine-sea-salt-45-oz/3000000000002290761
291725,Black Pepper,$7.99,17.5oz,https://www.bjs.com/product/wellsley-farms-pure-ground-pepper-175-oz/3000000000003894247
296111,Cumin,$9.49,14oz,https://www.bjs.com/product/wellsley-farms-ground-cumin-14-oz/3000000000004062265
296114,Paprika,$9.49,17.5oz,https://www.bjs.com/product/wellsley-farms-paprika-175-oz/3000000000004062269
296121,Chili Powder,$8.99,20oz,https://www.bjs.com/product/wellsley-farms-dark-chili-powder-20-oz/3000000000004062283
262309,Garlic Powder,$7.49,20.2oz,https://www.bjs.com/product/wellsley-farms-garlic-powder-202-oz/3000000000002732797
296116,Onion Powder,$8.49,22oz,https://www.bjs.com/product/wellsley-farms-onion-powder-22-oz/3000000000004062273
85739,Ginger,$7.99,1.75lbs,https://www.bjs.com/product/organic-ginger-175-lbs/3000000000000688106
295858,Bay Leaves,$7.49,1.5oz,https://www.bjs.com/product/wellsley-farms-whole-bay-leaves-15-oz/3000000000004062257
20242,Pickles,$4.99,46oz,https://www.bjs.com/product/vlasic-whole-baby-dill-pickles-46-oz/3000000000000154815
